ID,latitude,longitude,Date,farm type,Pop,Infection
"91",14.857659999999999,101.436740000000000,16-02-2017,dairy,"78","0"
"232",14.913629999999999,101.428680000000000,18-02-2017,dairy,"23","0"
"46",14.900270000000001,101.419610000000006,19-02-2017,dairy,"40","0"
"163",14.944820000000000,101.377619999999993,20-02-2017,dairy,"60","0"
"16",14.894959999999999,101.418940000000006,20-02-2017,dairy,"12","0"
"335",14.917809999999999,101.419309999999996,20-02-2017,dairy,"32","0"
"324",14.914780000000000,101.438220000000001,20-02-2017,dairy,"15","0"
"349",14.906810000000000,101.415509999999998,22-02-2017,dairy,"80","0"
"392",14.895090000000000,101.422340000000005,23-02-2017,dairy,"26","0"
"150",14.895899999999999,101.418239999999997,25-02-2017,dairy,"90","0"
"24",14.893829999999999,101.418850000000006,25-02-2017,dairy,"43","0"
"338",14.912599999999999,101.424750000000003,25-02-2017,dairy,"34","0"
"470",14.900380000000000,101.427300000000002,25-02-2017,dairy,"70","0"
"36",14.896300000000000,101.422899999999998,26-02-2017,dairy,"20","0"
"10",14.894860000000000,101.419240000000002,27-02-2017,dairy,"31","0"
"74",14.895420000000000,101.438270000000003,27-02-2017,dairy,"82","1"
"489",14.893330000000001,101.418350000000004,28-02-2017,dairy,"60","0"
"274",14.904840000000000,101.419210000000007,28-02-2017,dairy,"40","0"
"208",14.893129999999999,101.423339999999996,28-02-2017,dairy,"92","0"
"444",14.915509999999999,101.426349999999999,28-02-2017,dairy,"100","0"
"490",14.861219999999999,101.451269999999994,28-02-2017,dairy,"100","0"
"48",14.896910000000000,101.425500000000000,01-03-2017,dairy,"48","0"
"315",14.915430000000001,101.426379999999995,01-03-2017,dairy,"110","0"
"313",14.854480000000001,101.436809999999994,01-03-2017,dairy,"120","0"
"363",14.891030000000001,101.446969999999993,01-03-2017,dairy,"40","0"
"230",14.890000000000001,101.434510000000003,03-03-2017,dairy,"50","0"
"182",14.912129999999999,101.409779999999998,05-03-2017,dairy,"40","0"
